input,target,id
"extract weight                       : : 500D Nylon  : 70Z 10.0"" 5 .5"" 4.0"" 6.5",7.0 ounce,84
extract wattage                      : E 220-230V AC NE2 R c0/60Hz  550W L(Singl D 133251 SERI,550.0 watt,85
extract weight                       : 1924 MG4 MG4  MG4 MG4,4.0 milligram,86
extract volume                       : to4 weeks Eff,199071.0 decilitre,87
extract height                       : : 5 W Input:  AC85-265V 8cm / 3 in 41cm /  16 in 9cm /  3.5 in,9.0 centimetre,88
"extract maximum weight recommendation: d 70"" inches  o 5 KG weight",5 kilogram,89
extract maximum weight recommendation: o-12O kg Heav s 4 Gas Lift ,120 kilogram,90
extract depth                        : 150mm 420mm,420.0 millimetre,91
extract depth                        : 1.8cm/0.7in 3 .3cm/1.3in 1 6cm/6.3in 1 0cm/3.9in 4 m/1.6in,16.0 centimetre,92
extract weight                       : 100% ena NATU H 30g AND A S,30 gram,93
extract voltage                      : S 9.06in 4.92 n 11.42in 5.7 ) 4.53in 4.53 : 120V Power  : 120V/6W Bul  E26,120.0 volt,94
extract width                        : 3.5 in/9.0cm  s 6.2 in/16 c,3.5 inch,95
extract voltage                      : DP33200417009 002,12.0 volt,96
extract depth                        : 90cm 300cm,300.0 centimetre,97
"extract width                        :  ""8in"" in the s 8.7in. 8 -  8.2"" 6.1"" (Ho ) 0.7' (Hole  ) 0 8.7"" (Rin ) 6.69"" (Ring ) 6.89"" 5.0""  8in recesse t 6in recesse",8.0 inch,98
extract maximum weight recommendation: (s7 update to  s8) Increase  (4pcs update o 6pcs) Highe . 6 hooks are e 6 pcs Hooks,6.0 ton,99
extract wattage                      : ) 10:46 ECO 7 4% km/h A 2 0.5 75% Charg g:5V Eingangs m:2A Leistung :10w,10.0 watt,100
extract volume                       : ep3 1teaspoon ep2 ghee Step 4 1cup warm/c ep1 Step5 1te h 10O years o,1.0 cup,101
extract wattage                      : e 85w/87w/65w /61w/45w/30w/ 29w etc.You ,85.0 watt,102
"extract height                       : 6.3 "" 7.9 "" 1 0.2 "" 69.7 ""  13.8 "" 12 15 .7 """,69.7 inch,103
extract width                        : 10.5cm 11cm,11.0 centimetre,104
"extract volume                       : e 6x1,5L",1.5 litre,105
extract voltage                      : 173FT 500LED  OL588 Certifi & 30V Low Vol e 8 Lighting  P 44 Waterpro,30.0 volt,106
extract volume                       : Y 2iK RE GOLD L 24K GOLD E  e 24k pure go d 30pair 6.1f oz181g,6.1 fluid ounce,107
"extract maximum weight recommendation: Ca1000 BIOTIN  23 r/n DIANT  10,000MCG Kv "" 5%Creme DR  ex600",10000.0 microgram,108
extract width                        : 100 cm 50 cm  76 cm,100.0 centimetre,109
extract maximum weight recommendation: d 25kg,25 kilogram,110
extract width                        : 5cm 137cm,137.0 centimetre,111
extract maximum weight recommendation: D 120 KG Weig : 120kg Steel,120 kilogram,112
"extract volume                       :  (0,25 l) ein : 100% Sideri : 01.02.2025  : 461082023.   (0.25 l) or  : 100% Organi : 01/02/2025  : 461082023.   (0,25 l) ou  : 100% Sideri : 01/02/2025  : 461082023.  . 9, 90451 Nu O-07 FR Nicht  X001B99D2X 3 00g BIO Side  (300g). Neu",0.25 litre,113
extract volume                       : Y 200 ml of O m 75 Potassiu m 20 .. Chlor e 65 Citrate  10 .. Dextro e 75 ... Tota y 245,200.0 millilitre,114
"extract weight                       : H-20210415-06  (0,0 g/compr , 0,1 g/100 g",100.0 gram,115
extract height                       : 1.5 in 6.7in  3.6in IIIII,3.6 inch,116
extract volume                       : 31 FRONTLINE of0.5mL SPOTO T 10%w/SP0TON t 50mg KILLS ,0.5 millilitre,117
extract width                        : 1.37inch 3.14 H 3.93inch,3.14 inch,118
extract width                        : 150mm CHARGER  75mm 3.0A M1 2-18C DCEXW M A 175mm,150.0 millimetre,119
extract depth                        : e 90cm/35.43i E 7cm/2.76in,90.0 centimetre,120
extract volume                       : p 0.740z/21g  0.740z fo EXT,0.74 ounce,121
extract width                        : T 24x48 KID'S,48.0 inch,122
"extract weight                       : : 165mm 0.9kg  111 /810 WOR PH14 SL4+PH1  0425 SL5+PH2  PK36 SL6+PH3  185mm 3PCS Cr S 3"" (76mm) 5  (127mm) 6"" ( 150mm) 12V 3P",0.9 kilogram,123
extract width                        : o.1 SK 24 32  24 12 . A .  > 0460 2115-  EL0794-860200,0.05 millimetre,124
extract depth                        : 5.1 INCH 3INC H 7.3INCH,7.3 inch,125
extract maximum weight recommendation: T 59 x 59 x 1 8 cm Fit fo o 12 kg 75 x  75 x 18 cm F o 16 kg 92 x  92 x 18 cm F o 25 kg 115 x  115 x 18 cm  o 45 kg,45 kilogram,126
"extract voltage                      : D 9 Pantygrai CF37 2RR,UK t  X001QGK50F V r.2 EC Wall i P 35510 Butzb DS126SC Wall  DS126SC Feall DS126SC DS126 r:4W A A USB  t:5V-1A B B C t:2700K-4000K -5500K; E Nig t:2700K F G G : 125*105*68m m 5 kWh/1000h h/1000h Color d 2019/2015 2 021 No.1095 M",5.0 volt,127
extract width                        : E 9.7in SIDE-  (15.2in) SID E(23.5in,15.2 inch,128
extract voltage                      : 48v 16Ah Rem y 2 Charging  H 5-6 Hours 3 5-80Miles IP6 5 12Months Fu,48.0 volt,129
"extract wattage                      : 3.9"" 3.9"" 4.3 "" 13"" 4.3"" 0. 5"" Recommen  E26 Base, A1 9, T45 Powe e 110-120V So  E26 Wattage  60WMAX",60.0 watt,130
extract height                       : 12cm/4.7in 2 .5cm/1in 13c m/5.1in,2.5 centimetre,131
extract width                        : e 3.1in /8cm  3in/7.5cm 5 .1in/13cm,13.0 centimetre,132
extract width                        : 3mm/0.11in  11.5cm/4.52i n 7.4cm/2.9in  0.5cm 3.2cm /1.25in 2cm/ 0.78in,3.2 centimetre,133
extract wattage                      : e 5A USB C to r 3A Built-in p 5A Current  100w Power 48 0Mbps Sync  t 100w20v/5A  : 180Distorti,100.0 watt,134
extract maximum weight recommendation: e 14Km KG Spe d 110Kgs Max. TM405,110 kilogram,135
extract depth                        : : 58.00 cm/22 .83 in Width: 34.5 cm/13.5 8 in High:  0.2 cm/0.07 i,58.0 centimetre,136
extract wattage                      : IP92002-W 250 m 05 EG IMPTS  -86403768 Ma IP92002-W IMP T5,92002.0 watt,137
extract depth                        : 35.5cm 40.5c,40.5 centimetre,138
extract height                       : t 176 mm Heig t 58 mm Width  116 mm,58.0 millimetre,139
"extract height                       : 28cm/11"" 23. 5cm/9.4"" 11 m/4.4""",11.0 centimetre,140
extract voltage                      : 06 80 70 40  30 Actual gr . 1600-1700K  s 99.94% of l,110.0 volt,141
extract depth                        : 70.9in/180cm Y 47.2in/120c m 18 TH BIRTH  X1 Backdrop ,180.0 centimetre,142
"extract wattage                      : N 8O25 800.5m : 3.150.02inc e:80x80x25mm/ 3.15x3.15x0.9 8in Paralle e:71.5mm/2.81 h:300mm/11.81 : 3.150.02inc h 77+0.5mm Be g 800.5mm 3.0 30.02inch Ra C 110V-240V R r:2.5W Rated  d:2800 RPM Ai w:43.6CFM 4.3 0.3mm 0.170.0 1inch Noise l:31 dBA Life : 67,0000hrs  t 25degree te t 71.50.3mm 2 .810.01inch 3 0010mm 0.980. 02inch 250.5 m 11.810.39in h 150010mm/59 .060.39in",2.5 watt,143
extract wattage                      : 250W HUB MOTO ed25 km/h,250.0 watt,144
extract volume                       : ep1> Clean th ep2> Apply th ep3> FACIAL M l 20g 4.0 Lea r 10-15 minut e 1-2 times a,4.0 ounce,145
extract height                       : 3.34 in / 8.5 m 7.67 in / 1 9.5 cm,3.34 inch,146
extract width                        : 11.02in-12.9 9in The thi d 3.93in,11.02 inch,147
"extract height                       : o 360 27.5cm  e 360 10.3cm  r 16Potes+ su e 2,260g Capa e 5.2cm 18cm  80g",27.5 centimetre,148
extract volume                       : n 1.02OZ/30ml,1.02 ounce,149
extract depth                        : L13 3 400mm N S 450mm 2mm,400.0 millimetre,150
extract weight                       : 0.3 INCH 0.5   (6.7MM) (11. 5 MM) 0.2 I  (4.1MM) Net  t:2.67G 925 S,2.67 gram,151
extract wattage                      : 36V.250W 25  a 30o,250.0 watt,152
extract volume                       : l 18 cup-30m,30.0 millilitre,153
extract voltage                      : 8V LITHIUM,8.0 volt,154
extract depth                        : 143cm 54cm 67,67.0 centimetre,155
"extract height                       : a 4 pezzi Pes i 4 pezzi Ape : 22,44x19,29 x31,9 pollici  32,5 libbre  /14,73 kg 57x 49x81cm Chiu : 19,61x6,3 x 40,75 pollic i 49,8x16x103 ,5cm",103.5 centimetre,156
extract weight                       : y 400g,400.0 gram,157
extract width                        : 13in 4.3in 0 .7in .5in MO DE1 MODE2 MOD E3 3 7.0in 5 .9in Remote  l 1.5in .5in  2 1.5in,7.0 inch,158
extract width                        : t:12g 2 inch  O0 EVER FAIL,2.0 inch,159
extract width                        : 6 PCS 15.8i h/40cm green  n 40CM/15.8IN t 6.3cm diame,6.3 centimetre,160
extract depth                        : h 445mm Width  370mm VitrA  165mm,445.0 millimetre,161
extract weight                       : s 20 Tea bags T 2.12 OZ 60g,60.0 gram,162
"extract voltage                      : y 76%Higher C o 6 Only Not  r 6s/6Plus/6s e:3.82V Charg e:4.35V Watt- r:12.22Wh Dro p 10% Sooner, n 3200mAh New",3.82 volt,163
extract height                       : T 68  91x68x1 6cm L 16  6 7x56cm 56 30K S 76 106 5106 x76x19cm XL 1 9  82x63cm  63 8 45KGST,16.0 centimetre,164
extract depth                        : 118mm 14 13 1 2 0 145mm,145.0 millimetre,165
extract voltage                      : D 1700 AM4 12 00/115X 2066 GA1700/1200/1 15X/1366/206 6 /2011-v3. /2011 AMD AM4 AM3+/AM3/AM2+ AM2/FM2+/FM2/ FM1,2011.0 volt,166
"extract voltage                      : i 240erLED-Li z 240er LED-L a.10m, GroBe  a.300x300cm B IP44 DC 36V 1 00mA) warmwe e 240 LED Net a.10m lead wi a.300x300cm ( IP44 DC 36V10 0mA)",36.0 volt,167
extract weight                       : t:400 Gms 14 ,14 ounce,168
"extract height                       : 29.6"" 42.6""  15.55'",42.6 inch,169
extract maximum weight recommendation: ml500 16.gl.o S 100ml/33i R,16.0 gram,170
extract depth                        : o.88 236mm Ey F1.5 0.7mm K a 88ON 1$ KYO,88.0 millimetre,171
extract voltage                      : 0.39in/10mm 3 0LEDs/m NDC N 1.294in/32. 86mm 0.39in/ 10mm 60LEDs/ S 0.66in/16.6 7mm 0.472in / 12mm 144LED m 0.255in/6.4 8mm,5.0 volt,172
extract weight                       : R 8.30Z.(235g,8.3 ounce,173
extract height                       : 30CM/11.81IN  7CM/2.76IN,30.0 centimetre,174
extract maximum weight recommendation: P 53'Inches W h 20'Inches D h 10'Inches L h 30'Inches,20 kilogram,175
"extract height                       : 123 24.5 30-4 5 G 1/2 013 9 9 9 G 1/2""",39.3 inch,176
extract wattage                      : : 3A 20W 5W 2 0W PD 5WReg C 20W 93.93%  x 66W Lightni,66.0 watt,177
extract weight                       : . 4oz I 120mI,4.0 ounce,178
"extract maximum weight recommendation: n:13x8-3/4""x1 -1/4"" Packag t:0.924LB 8-3 /4"" 13"" Easi",0.924 pound,179
"extract height                       : 74cm 30 cm 4 4 cm 74 cm  44 cm 31,5 c m 30 cm 31,5  m 75,5 cm 75, 5 cm 70,5 c m 80,5 cm 33. m 1 I I",80.5 centimetre,180
extract width                        : 13in 18.5' i,18.5 inch,181
extract width                        : A:8.3x6cm/3.2 6x2.36in B:10 .2x8.6cm/4x3 .38in,6.0 centimetre,182
extract voltage                      : Oh8i F8000LV6 .80,1840.0 volt,183
extract weight                       : 6IN1 UNDo ( E 282 BUILD ( l 282-A) 1 RE l 282-1 to 28 2-6,1.0 ton,184
extract height                       : a:13 cm 9s Al a:23 cm Compr : 22 cm,23.0 centimetre,185
extract maximum weight recommendation: 3 Slots Lar,1000.0 gram,186
extract width                        : G 100 kg Rang a 720-1200mm  d 38mm/s Elig o 120-180cm 7 0-80cm,120.0 centimetre,187
extract depth                        : 18.5 cm 11 c u 17.3cm 5cm,17.3 centimetre,188
"extract wattage                      : ) 2019/2013 w n 1.  Supplie a 12H, 3320 V a 2. Model id r 32A4K 3. En ) 4. On mode  R 27,0 W Ener ) 6. On mode  W 7. Off mode . 0,0 W 8. St e 0,2 9. Netw - 0,9 W able  10. Electron n 11. Size ra o 16 6 12. Sc n 1 366 x 768 s 13.  Screen l 80,0 cm 14. l 32 inches 1 5. Visible  a 27,4 dm2 16 D 17. Automat s 18. Voice r o 19. Room pr o 20. Image r . 60 Hz 21. M d 8 Years fir . 22. Minimum ) 23. Minimum . 10 Years Mi r 24.  Power  l 25. Externa e 1 /2",27.0 watt,189
extract width                        : N 18 cm,18.0 centimetre,190
extract voltage                      : 5 FRAGILE U CL50 VOLTAGE: DC12V/24V AC1 00-240V POWE R:80W QTY1PC/ .W13KG/28.6LB .W15.5KG/34.1 AS65.4X41.8X5 6.5CM) 25.7X1 6.4X22.2(INCH,12.0 volt,191
extract width                        : 25.5cm 23.5c,23.5 centimetre,192
extract weight                       : PR3000 (ncl.  10g,10 gram,193
extract depth                        : s 16Pack Wate n 16 tiles Th s:0.06-In in  : 12x12 Inch,12.0 inch,194
extract width                        : e 10 inch x 1 2 inch 25cm x 30 cm) fram r 8 inch x 10  (20 cm x 25 ,10.0 inch,195
extract depth                        : 100n EN13236,30.0 millimetre,196
extract maximum weight recommendation: L 3ENITJI A-4 1cm F-48cm  y-5.2Ft-6Ft B -48cm G-64cm  y-105 kgs C-4 8cm D-49-61 E-84-98 cm A ,105 kilogram,197
extract volume                       : S 60 SERVINGS 2FL.OZ(60 m,2.0 fluid ounce,198
"extract volume                       : t 30m The her a 30ml/1fl.oz n 2 hours, an",30.0 millilitre,199
extract maximum weight recommendation: O 35OLBS Upgr,350 pound,200
"extract maximum weight recommendation: S 16in x16in  (40 cm x 40 c : 110 LBS (50 M 4.4' to5.4'  7 1.3 m to1 .7m) (18 cm) B 16"" (40 cm)  10.6 (27 cm)  16""(40 cm)",110 pound,201
extract depth                        : 200mm/7.87inc,200.0 millimetre,202
extract height                       : 7.86 in / 20  m 3.54 in / 9,7.86 inch,203
extract height                       : 15cm/5.9in 2 4cm/9.44in  7.56cm/ 2.97i n 26.5cm/10.4 3in 3.7cm/  1.45in 32cm/1 2.59in,26.5 centimetre,204
extract width                        : e 11in/28cm 1 4.57in/37cm 1 3in/33cm 12 .2in/31cm 0. 12in/0.3cm 1 4.57in/37cm 1 5.7in/40cm I  11.8in/30cm,37.0 centimetre,205
extract depth                        : 12.5cm/4.92I C 6.7CM / 2.6 3IN 23CM/9. 05IN,23.0 centimetre,206
extract height                       : 26cm /10.23i n 20.5cm/8.07 n 20.5cm/ 8.0 7in,26.0 centimetre,207
extract depth                        : 6.5cm 3cm 4.5 m 17cm 13.5cm,6.5 centimetre,208
extract voltage                      : CH1 CH2 DUAL  P-511 BATTERY P-511 CE 7.4V 2650mAh Li-io,7.4 volt,209
extract wattage                      : 4.64in Voltag e:110V (85-27 7V) Materia :E26 Socket W t:60W MAX (Bu LE26SOCKET 47 .24in Compati s 59.45in 11. 02in 22.05in,60.0 watt,210
"extract volume                       : e,5%! COLANUS ro100m utguss  0 KCa 09 04 9 09 20.19 02 9 <019 cold # 09 wnrate e  F155R tea -1 ,5% 14x mit  28g=14Pyamib je40g Vitamin  B6* fur eine",200.0 millilitre,211
extract height                       : . 10 ~ 21cm / 3.9~ 8.3in No . 1.3mm / 0.0 5in,10.0 inch,212
extract weight                       : 280g 15.7cm 7 .9cm 8.2cm,280.0 gram,213
extract width                        : 50 cm19.7 3  cm1.2 200 cm7 8.7,50.0 centimetre,214
extract weight                       : eP04 200-500l s 4000+life c d 3 years lif n 10 years li  x2 years of  y 5years pror ht65lbs Weigh t26lbs,26.0 pound,215
extract volume                       : e 8.3cm/3.2in D 31cm/12.2in,8.3 cubic inch,216
"extract volume                       :  N0699L Ecam  n.21LA04600 o y 22/03/2021  H:11120 EXP11 /2023# Custom r 00100 HELSI n.5 Sampling  : 10/03/2021  : 16/03/2021  e 16/03/2021  : 22/03/2021  g 190 120-310 A 01/2021:206 12 CFU/g <10  <10 N.A. CFU  <10 N.A. has A 01/2021:206 12 <10 N.A.  g 20612 CFU/O  <10 N.A. SAV A 01/2021:206 12 Detection a 25g Absent  g 0,280 0,052 g 0,003 0,001 g 0,25 0,05 m g 0,068 0,013 e 1of2 OSRLEN o 6.36030 a 1 650050246R.4. 45 6ia175403 ip75.000,0 we N 180 CAPSULE",699.0 litre,217
extract volume                       : 16.8 cm / 6. 6 in 26cm /  10.2in,26.0 cubic inch,218
extract voltage                      : G 92LB11k 514 74APPC Poten  G818787-2000 t 4 disassemb n 3.7V30mA Li y 6 3.7Vm5.3W PN516-0580 MO  N616-0580 VP IS1474AP WARR MF603/2017,3.7 volt,219
extract depth                        : 5.98inch 5.98 h 5.9inch 6.5 7inch,6.57 inch,220
extract depth                        : 13 inch 8 in,13.0 inch,221
extract wattage                      : m 17.3cm 17.5 g 30WIP66 360  180 20cm Pow l 180 4.5cm O h 180Rotation,30.0 watt,222
extract volume                       : H 1 CUP COOKE D 7 ZERO 1 CA,1.0 cup,223
extract volume                       : D 16 173ML,173.0 millilitre,224
extract height                       : 63CM 62CM 10 3CM,63.0 centimetre,225
"extract width                        : 18"" 12""",18.0 inch,226
extract width                        : - 20 in 18 in  24 in,24.0 inch,227
extract voltage                      : 2560 US EMITE s/5m LISTED l,24.0 volt,228
extract width                        : K:175MM :32MM E:160MM I :16,16.0 millimetre,229
extract depth                        : l 5inch 31.5i N 2.4inch 1.8,5.0 inch,230
"extract depth                        : d 16"" 16"" pil",16.0 inch,231
"extract volume                       : e 70 pcs Natu t 12 cm/4,7 i l 5 cm/1.9 in",1.9 cubic inch,232
extract width                        : 10X BRASS CA E:15MM,115.0 millimetre,233
extract voltage                      : ND3-UFO220V-3 00W A B C D  G 300 kWh/100 0h 2019/201 5,220.0 volt,234
extract height                       : 35mm 55mm 55,35.0 millimetre,235
extract weight                       : 200g 19cm/7.4 8in 14cm/5. 51in,200.0 gram,236
extract weight                       : ? 10 inno MER,80.0 gram,237
