4357,extract wattage: gned It has the same width as the wire connector. 12VHPWR 600W 16PTo16P180,600.0 watt,600.0 watt
7527,extract height: 2.17in 4.33in HERSIDE 1.49in 1.57in,4.33 inch,4.33 inch
818,extract wattage:  Free to choose bulbs according to lighting needs 28.30inch(75cm) 11.5inch(29cm) 4.72inch (12cm) 8inc h (20.3cm) E26 Multi-Bulb Option Voltage Volts: 110V Maximum Wattage: 40w Bulb not included.,40.0 watt,40.0 watt
4884,extract weight: PROGRAM ROYALCANIN CARE HAIR&SKIN ROYALCANIN CARE 21 BEAUTY The perfect combination of our dry and we,85 gram,21.0 ounce
7417,extract volume:  PURE HIMALAYAN HEMP SEED OIL COLDPRESSED Not Qty 100m,100.0 millilitre,100.0 millilitre
6804,extract height: 1203 X=if107.5cm 27.5cm 45cm 35cm I,27.5 centimetre,107.5 centimetre
1473,"extract wattage: 19.5cm 50cm Beleuchtung + Inverter-Lufter Fernbedienung + m obile APP,leise und gerauscharm Flache:10-20 qm/Schlafzimmer,Esszimmer.Leistung: 72 W Windgesc hwindigkeit: Variable Frequenz 6-fach einstellbar. Lichtquelle:trichromatisches Di mmen 3000/4000/6500K",72.0 watt,72.0 watt
3103,extract maximum weight recommendation: 00,69.0 gram,100.0 gram
6,extract depth: GEDORE GEDORE R68903011 R68903011 Setllx Setl1x,600.0 millimetre,68903011.0 inch
1397,extract height: 7.5 CM 14 CM 6.5 CM 14CM,14.0 centimetre,14.0 centimetre
4925,extract height: DANFU 10W LED Flood Light 84mm3.3in WIDE SCOPE OFAPPLICATION SCENARIOS 86mm4.4in 78 mm(3.1in) Manufactured by LANFU,84.0 millimetre,86.0 millimetre
4871,extract weight: PEARL BARLEY 1KG/35.2OZ,1 kilogram,1.0 kilogram
7168,"extract maximum weight recommendation: 300 LBS 12.6"" 21.26"" 27.17"" 27.17"" 23.79"" 16.93"" 37.83"" 33.07",300 pound,300 pound
2525,extract weight: Dicke 1.5 mm 125mm 205mm 200g Leichtgewichtig fur zusatzlichen Komfort beim Sc,200.0 gram,200.0 gram
5856,extract volume: E3 ELITEBAGS Refrigerant reusable gel,3.0 litre,200.0 millilitre
5240,extract height: GroBe 140x70 cm Material Holzwerkstoff Farbe 08Princesso,70.0 centimetre,70.0 centimetre
2175,"extract width: 74mm /2.9"" 38mm/1.5"" 35mm/1.38""",35.0 millimetre,74.0 millimetre
5864,extract volume: 22cm 15.20cm 2200ml 9.20cm 800ml 7.60cm LUNALING LUNALING 12cm 17cm 18.50cm 12.20cm 130 0ml 8.30cm 400ml 6.50cm LUNALING LUNALING 9.30cm 14.50cm 17cm 17cm 3.5cm 2.3cm,1300.0 millilitre,800.0 millilitre
1992,extract voltage: AUTO BILGEPUMP 1100GPH 2OT4.0AMP PROTECTED 3.1in 10.5cm/4.1in 15cm/5.9in,12.0 volt,12.0 volt
6326,extract width: 16in 18in,16.0 inch,18.0 inch
7283,extract voltage: LARGE BATTERY 48V 12AH 30-50 miles PO BMS SYSTEM WATERPROOF,48.0 volt,48.0 volt
2474,extract voltage: 1001 5.5 e 25 KONIGHAUS TINFRAROT,250.0 volt,12.0 volt
7558,extract volume: Product Size 10cm3.9in 20.5cm8.1in) 60cm23.6in,8.1 cubic inch,10.0 cubic inch
7031,extract width: 92MM BEER PONG GLASS 16oz 117MM 57MM,92.0 millimetre,57.0 millimetre
7471,"extract width: 12.96""/33cm 25.98""/66cm 5.91"" /15cm 22.04""/56cm 25.98"" /66cm /10cm 3.93"" 0.79"" /2cm 10.83"" 2.76"" 77c m 127.5cm",25.98 inch,22.04 inch
6381,extract wattage: ENERG7 AHOTSUK 3W-6500 A B C D E F F G 2019/2015 3 kWh/1000h,3.0 watt,3.0 watt
7517,extract width: 43.18cm 165cm 175cm 30.23cm,13.97 centimetre,30.23 centimetre
6036,extract depth: 19.5cm 14.5cm 2.5cm,19.5 centimetre,19.5 centimetre
6587,extract voltage: Dimensions 94mm Model E33B Battery Energy 38Wh3.8V Battery Capacity 10000mAh Type-CIn/Output PD20W( Max9V2.25A Vireless charger Output 5W/7.5W/10W/15W ExecutiveStandard:GB T35590-2017 CE Weight: 220g  66mm,9.0 volt,3.8 volt
5493,"extract maximum weight recommendation: S 75*75CM Geeignet fur unter 12,5 kg M 75*120CM Geeignet fur unter 15 kg L 90*90CM Geeignet fur  unter 20 kg",20.0 kilogram,20.0 kilogram
6793,"extract voltage: Datos tecnicos Medidas (Largo x Ancho x Alto): 128O x 1O2 x 56 mm Potencia: 36 W. Flujo Iuminoso: 4. 320 Iumenes Temperatura de color: 4.OooK, blanca neutra. Angulo del haz: 120 Indice d e reproduccion cromatica (CRl): >80 Tipo de conexion: G13. Voltaje nominal: 220-240 V leta electrica de presior. Grado de proteccion: IP65 Proteccion contra impactos: IK08.","[220.0, 240.0] volt","[220.0, 240.0] volt"
3287,extract maximum weight recommendation: Tools are easy to access and clear at a glance 8888888888 M+ ofo,8888888888.0 ton,5.0 ton
6978,extract width: 70cm 150 cm 105 cm,150.0 centimetre,70.0 centimetre
7322,extract voltage: 4-5 36V7.5AH HOURS FAST CHARGE Up to 27.9 Miles SPORT PEDAL ASSIST MODE ELECTRIC MODE MODE  27.9miles/45kM 15.5Miles/25KM,36.0 volt,36.0 volt
123,"extract weight: WEIGHT: 165mm 0.9kg 111 /810 WORKPRO PH14 SL4+PH1 0425 SL5+PH2 PK36 SL6+PH3 185mm 3PCS Cr-V BITS 3"" ( 76mm) 5"" (127mm) 6"" (150mm) 12V 3PCSHSS STEELDRILL Lithium-lon WORKPRO",0.9 kilogram,0.9 kilogram
1762,extract voltage: 50W SOLAR PANEL 28cm/11.02in 42cm/16.54in 12V 12-18V DC Output) (DC Output),12.0 volt,12.0 volt
2253,extract weight: n Color: Black+Stainless Steel Overall Dimension: 18.3Lx17.5Wx19.6H E-MACH Capacity: 1.6Cu.Ft Net Wei ght: 29.5lbs Voltage: 115 V/60 Hz Temperature Range: 32F~50F Refrigerant: R600a  Energy Consumption: 230kWh/year Noise Level: <43dB,29.5 pound,29.5 pound
2172,"extract weight: sUGGESTED USE: As a dietary supplement, take one (1) tablet daily, preferably with a meal or as direc , treat, cure or prevent any disease. MADE IN USA 400 TABI 17716 01869",1.0 ounce,400.0 gram
875,extract maximum weight recommendation: PACKAGE INCLUDES 1x Folaing Chain 1x Cary Bag Light 9.4lbs >KingCamp 23.6in Max Load  300Ibs 38.1in 17.3in KingCam 37.4in 28.7in 20.8in 7.4in 8.2in,300 pound,300 pound
571,"extract height: 35 cm13.8 157 cm61.8 200 cm78.7 203cm80"" 160 cm63)",13.8 inch,203.0 centimetre
2405,extract weight: Military 290-piece set (OPP bag) 50 accessories + 240 4cm soldiers Weight: about 420g,420.0 gram,420.0 gram
5683,extract volume:  strap with buckle to fit different size of head. 9cm/3.5in 24cm/9.4in 1cm/0.39in 25.5cm/10in,24.0 cubic inch,1.0 cubic inch
5963,"extract voltage: Produktdatenblatt DELEGIERTEVERORDNUNG (EU) 2019/2015DER KOMMISSION zu ten: Linyi Rongxuan Lighting C o. Ltd. ModellkennungNMINI220V-150WB Art der Lichtquelle Unebondet oder LED LED Neir arblic Lichtquelle hoher Produktparameter: Kegel (90) bezieht Sete 1/3 auf Span neter) 0,403 Lebensda uerfaktor Lichtstromerhlt 0,96 0,92 Farbkonsistenz Falls ja, Angabe zur b)nicht ete2/ 3 Sete 3 1 3",220.0 volt,220.0 volt
5848,extract volume: 14 EFFICIENT NUTRITION Match your Food by color and  olor-Coded Portion-Sized Containers VEGGIES FRUIT 1 Cup 1 Cup CARBS PROTEIN 1/2 Cup 3/4 Cup SEEDS FAT s 2 tbsp 1/3 Cup,0.75 cup,1.0 cup
4759,"extract height: 7 CM 12,5 CM",12.5 centimetre,7.0 centimetre
1300,"extract volume: n. Nutrition Facts Valeur nutritive CERTIFIED Per 1 Tea Bag175 mL)prepared TEA-THE Pour 1 sachet de t he 175 mL prepare We are working with the Rainforest All owing families and protects the Calories/Calories 0 environment.100% of Red Rosetea comes from Fat/Li pides O g 0% Rainforest Alliance CertifiedTM tea gardens. Car bohydrate/Glucides 0 g 0% Nous travaillons de concert avec Rainforest Alli oteger vitamin C,calcium and iron I'environnement.100% du the Red Roseprovient Source negligeable de  us packaging means our boxes are constructed from 100% recycled material with at least 35% TRADE-MARK ement d'utiliser UNILEVER CANADA,TORONTO.ONTARIO M4W 3R2 des emballages ecologiques et c'est pourquoi nilever.ca nos boites sont fabriquees de materiel 1-877-955-R0SE (7673 entierement recycle contenant  au moins 35 % de materiel post-consommation. www.redrosetea.c",175.0 millilitre,175.0 millilitre
1217,"extract width: 8cm 3.1inch Size:L 9.5cm 3.7 inch 16.5cm 6.4 inch Small Size,3.7inch(Note:Plants & Stones are ",3.1 inch,8.0 centimetre
526,extract height: 7.3cm 6.6cm 2.8in 2.5in Detachable 10cm/3.9in 9.3cm/3.6in 6.8cm/2.6in 7.3cm 2.8in 20.5cm/8in,7.3 centimetre,20.5 centimetre
318,extract voltage: SAME SIZEHIGHER CAPACTY 7000mAh 21.6V Li-ion Capacity Voltage Cell Type,21.6 volt,21.6 volt
769,extract voltage: Connect Up to 3 Sets Expandable 16ft Leading Wire 8 Lighting Modes Controller 29V Low output safe ada,29.0 volt,29.0 volt
5250,extract height: PmWeR DEDICATED FOR R QUEEN LIFEPO4 BATTERY 5.99 inch Battery Charger MODEL:AP-PF900CH01460400 INP UT:100-240V~ POWERQUEEN 3.56 inch 50-60Hz 9A Max. g Indicator OUTPUT:14.6V=40.0A584.0W DC Out put Wire:Brown(+).Blue(-) CEFC 11.22 inch + Weight:5.29lbs,3.56 inch,11.22 inch
972,"extract depth: 150"" 27"" ENJOY WATCHING ON A BIG SCREEN An adjustable scr een size between 27""-150""is perfect for solo gaming marathons or movie nig",27.0 inch,150.0 inch
1200,extract depth: SIZE W H 13in(33cm) 70in(178cm) 13in(33cm) 90in(229cm) 14in(36cm) 72in(183cm) 16in(41cm) 72in(183cm)  18in(36cm) 72in(183cm),178.0 centimetre,183.0 centimetre
998,extract wattage: USB-C MALE MacBook MacBook Pro Chromebook DeXPS13/15/17 OOW 06000 Switch Console Samung Galaxy Pixel ,100.0 watt,60.0 watt
419,extract voltage: 220V COB LED Strip Warm White Natural white White AC2 20-240V AC220-240V AC220-240V 360 Leds/m 360 Leds/m 360 Leds/m 8-10W/M 8-10W/M 8-10W/M 1000LM/ M 1000LM/M 1000LM/M CRI:90 CRI:90 CRI:90 Double sidedFPC Double sided FPC Double sided FPC  copper electrolytic copper electrolytic copper IP65 Waterproof IP65 Waterproof IP65 Waterproof,220.0 volt,"[220.0, 240.0] volt"
1726,extract depth: cm 5 15 240 cm,240.0 centimetre,240.0 centimetre
1690,"extract wattage: G40 Outdoor String Lights YIJA eHeprnaEvepyaia A+ Mod elCMC-O30XA CCT:2700K Warm White Bulb Quantity:30+3 LED Input:220-240V Total Watt:30W,(1W/Bulbt) 30kW h/1000h MADE IN CHINA",30.0 watt,30.0 watt
6764,extract volume: RD All Shake Well Natural MERIC Garlic Juice NET5FL.OZ.148 mL),5.0 fluid ounce,5.0 fluid ounce
4550,extract weight: 316L Stainless steel Brass AAA Zircon 2.7cm (1.06inches) 4.5cm (1.77inches) Chain length:60cm(24inc hes) Net Weight: 27.6g (pendant+chain),27.6 gram,27.6 gram
621,extract maximum weight recommendation: Assemble It allows you to install more easily Step1. Open The MagicStickers Step2. Put on Bracing Ste p3. Easy to finish,3.0 ton,3.0 ton
7454,extract height: X 20 12,4.0 inch,20.0 inch
4340,extract depth: DUnIOP U.S.A. .73mm,73.0 millimetre,73.0 millimetre
4373,extract weight: 7cm 13.3cm 6.5cm 200ml 325g,325.0 gram,325.0 gram
6995,extract maximum weight recommendation: E Fur einfaches Entnehmen EXTREM BELASTBAR bis zu 1Okg ERGONOMISCHER EXTRA HOHER GR FF OXALON ohne de,10.0 kilogram,1.0 kilogram
1573,extract weight: t variety raw root powder on an eping Health Hair 100% ties o pure ras Shilajit PROUDLY FIT INDIAN PR OUDLY FIT INDIAN Net Qty100 GM/3.5 0Z Net Qty : 100 GM/3.5 0Z Rejuvenate..Recharge. Redefine..Revital ize.. 100% Stay Young. wild forest IYUSH grade herbs IYUSH  ded forest variety raw root powder sugar or water 100% ntend 500ML PROUDLY FIT INDIAN PROUDLY FIT IND N PROUDLY FIT INDIAN PROUDLY FIT INDIAN Net Qty : 100GM/3.5 0Z Net Qty : 100 GM / 3.5 0Z Net Qty : 10 0 GM /3.5 0Z,100.0 gram,100 gram
288,extract maximum weight recommendation: CELLBELL ENRICO A-53cm D-43-56cm Height Sustainability-5.2Ft-6Ft B-56cm E-112-12 2cm Weight Sustainability-105 kgs C-79cm F-61cm G-61cm C E B D F,105 kilogram,105 kilogram
2000,extract wattage: CAVO  TYPE-C TO LIGHTNING XDGTGB44 Type-C to Lightning HIGHSPEED Fast Charging & Dat terfaccia anti rottura Materiale:ABs + TPE Output:3A/20V720Wmax Lunghezza cavo:1metro RICARICARAPIDA,20.0 watt,720.0 watt
5532,"extract depth: JAM PAPER&ENVELOPE ZIPPER BINDERS RED LetterSize11/2x 131/2x1/2 Carrying Handle1/2 inch Distributed  by JAM Paper & Envelope,385 Logrand Avenue, Northvale, NJ O7647 USA www.jampa",13.5 inch,385.0 inch
5421,extract height: 28cm 48cm,28.0 centimetre,28.0 centimetre
6665,extract volume: toxification Good in diabties Purify Liver & Body 416H 8L000 SU6AR Helps In Overal Health,8.0 litre,8.0 litre
7187,extract maximum weight recommendation: OFTX A4No.33266 A4No.33266 A4No.33266 A4No.33266 Bearing weight: 10KG (22lb ),10.0 kilogram,10.0 kilogram
2717,"extract height: 15,5 cm 30 cm 25 cm",15.5 centimetre,25.0 centimetre
4513,"extract voltage: proventa Technische Daten ichtfarbe: 4.OOOK, neutralweiB Abstrahlwinkel: 120 Lichtleistu nq: 4.320 Lumen Sockel: G13. Nennspannung: 220...240 V Abmessungen LxBxH:1280 x 102 x 56 mm Lieferumf ang 4x Feuchtraumleuchtenqehause IP65 8x LED-Rohre 18 Watt 4x Montagematerial",240.0 volt,240.0 volt
1809,"extract volume: How to use. Stepl.take out a mask Step2. pour enough Step3. the mask paper and put the ma  small is completely sodked small bowl. bowl. Step4. put it on your Step5.quietly enjoy skin Step6.ta f, gently face,adjust the area of rehydration for 5-10 massage until eyes, nose, mouth. minutes, comp",4.0 pint,2.0 pint
5476,"extract weight:  nutritious health booster Pet approved Made from 100% ox heart with added organic apple cider vinega ce of B vitamins to support a healthy, happy life 100g",100 gram,100 gram
4107,"extract voltage: ghts. No screws required,simply connect light and 30cm pipe,insert to the place where you like 72cm/1 03cm 10cm 30cm 30cm 5cm Stainless steel 30cm 30cm Battery:1.2V800mAHNI-MH Working Time:8-12 hours  Waterproof Level:IP44 Material:ABS+S.S Brightness:10LM 16cm 16cm Chargi ng time:5-6hours Color Temperature:1600K",1.2 volt,1.2 volt
3008,extract depth: 3.1mm 4.8mm 2mm 3mm Applicable cable cross-sectional area: 0.75~1.5 4mm2 Applicable cable cross-sectional area: 2.5mm2 Applicable cable diameter: 3~3.7mm Applicable cab le diameter: 3.9~4.3mm 6mm 7.2mm 4mm 6mm Applicable cable cross-sectional area: 4mm2 App licable cable cross-sectional area: 6mm2 Applicable cable diameter: 4~6mm Applicable cable  diameter: 6~10mm,2.0 millimetre,7.2 millimetre
1955,extract wattage: DIGITAL DI$PLAY PD20W FAST CHARGNG CABLE 2A fast chargedata transmission nylon braid PD201 I RCTEK 20W,20.0 watt,20.0 watt
3263,"extract weight: DIMENSIONS  PRODUCT 8.07"" 10.63' Weight:1.72lb",1.72 pound,1.72 pound
226,"extract width: 18"" 12""",18.0 inch,12.0 inch
3231,extract voltage: NMBP1-G800-05 800GPH,12.0 volt,12.0 volt
7610,extract maximum weight recommendation: r Ce sac est fabrique a partir deDouble epaisseur 180g/m papier vegetal. 100%naturel.kraft blanc doub le de kraft brun Contenance. 33 lites. 100% Ecographik Nele jetez pas. II peut servir plusie,180.0 gram,180.0 gram
1318,"extract height: E26 Base,Stanard 5/6 inch 187mm/7.36inch 76mm/2.99inch 187mm/7.36inch 13cm/5.11 Inch 90 CRI Dimmable  1200Lumens 15Watts Vibrant color Wet rated 35,000Hours",187.0 millimetre,187.0 millimetre
6650,extract maximum weight recommendation: 46cm/18inches 6cm/2.4inches A 25cm/10inches 25cm/10inches Max Capacity : 330lbs Product weight : 1.25 kg/2.8lbs Diameter:25cm/10inches Pack Size : Heiqht:6cm/2.4inches Diameter:2 5cm/10inches Fully Open Size : Height:46cm/18inches Height Range : 6 to46cm/2.4-18inches Open a otate counter-clockwise Material: High strength PA66,330 pound,330 pound
4762,extract depth: 12cm/4.7in 3cm/1.18in 13cm/5.1in 7cm/2.7in 53cm/20.8in LIGHT SOURCE BUILT-IN LEDCHIP COLOR TEMPERATU RE 4000K POWER 24W VOLTAGE 110V-265V,53.0 centimetre,53.0 centimetre
4866,extract width: 32cm/12.6in 17cm/6.7in 1.5cm/0.6in 2m/6.6ft(lead wire),32.0 centimetre,32.0 centimetre
4914,"extract depth: he longer (outside) slots are for water depths of 9"" to 12"". The shorter (inside) slots are for water  depths of 12"" to 14"". Weight 25 Ibs. 12' 16"" 36",36.0 inch,9.0 inch
2102,"extract weight: Flugelschwinger TEEBLUTEN 6 Gruntee Variationen Credo Romance Symphony Harmon min Rose blume,Jasmin blume Zutaten:Gruner Tee ca.95%),Bluten ca.5%von Ringelblume,Jasmin,Rose 6 Grun  Bluten gefertigt. Nettogewicht je Teeblume circa 7g,Inhalt:6 Stuck, Gesamtnettogewicht: circa 42g;Mi ndestens haltbar bis: Ende 2024,L TB22o001 Flugelschwinger Tee und Superfoods XOOOSAMAPN Inh .Christine Elisabeth Irnstetter, 6 Teeblumen Gesche..ksamkeit, Teebluten Bremer Str.  9, D-90451 Nurnberg www.fluegelschwinger.com Neu",42.0 gram,42.0 gram
537,extract volume: ERIC CLAY MASK Brightening-Repairing Anti-aging a/2.5 FL.Oz AONTE CUNA DEAD SEA MINERALS MONTE CUNA M seControl acne GREEN TEA Contract pores CLAY MASK 70g/2.5F1.Oz Oil controlingDeep cleansing Blackhead  removing e70g/2.5 FL.Oz,2.5 fluid ounce,2.5 fluid ounce
1396,extract weight: Rock Gold Instant Eshaku Instant Coffee Original (100% Coffee) 200 gms,200.0 gram,200 gram
306,"extract maximum weight recommendation: ide High Size (cm/inch) Suitable for Dog's weight 20(L)x14(W)x3(H)inch XS 20""x14""dog crate Up to 10 k g 50(L)x35.5(W)x8(H)cm 24(L)x18(W)x3(H)inch 24'x18""dog crate Up to 30 kg S 60(L)x45(W)x8(H)cm 30(L)x 21(W)x3(W)inch Up to 40 kg M 30""x21""dog crate 76(L)x53(W)x8(W)cm 36(L)x24(W)x3(W)inch 36""x24""dog c rate Up to 50 kg 91(L)x61(W)x8(W)cm",30 kilogram,50 kilogram
3593,extract width: doll not included pram size (approx 47cmHx32cmWx29cmD BOC 18+ months suitablefor dolls up to 40cm ta,29.0 centimetre,47.0 centimetre
3405,extract weight: LULU No.22 CANDLES SOY CANDLE PROUDLY MADE IN THE USA 160g6  0z,160 gram,160.0 gram
2699,extract depth: 26cm/10. 23in V5 VERY MERRY 17.8cm/7in,23.0 inch,26.0 centimetre
