,result
13,"['Wichtiger Hinweis: Immer mit sprudelnd kochendem', 'Wasser aufgiessen und mindestens 5 Minuten ziehen', 'lassen.Nur so erhalten Sie ein sicheres Lebensmittel!', 'Zubereitung: Nehmen Sie 1 Aufgussbeutel pro Tasse', '200ml).Wir empfehlen den taglichen Genuss von 1-2', 'Tassen.', 'Eine abwechslungsreiche und ausgewogene Ernahrung', 'und eine gesunde Lebensweise sind wichtig fur unsere', 'Gesundheit.', ""Remarque importante: toujours verser de I'eau bouil-"", 'lante sur le sachet et laisser infuser au moins 5 minutes', 'De la sorte,vous avez la garantie de deguster un produit', 'alimentaire sur!', 'Preparation: un sachet par tasse (200ml).Nous recom', 'mandons de savourer 1 a 2 tasses par jour.', 'Une alimentation variee et equilibree et un mode de vie', 'sain sont importants pour notre sante.', 'Avvertenza importante:preparare esclusivamente con', ""dell'acqua bollente e lasciare riposare per almeno 5 minu-"", 'ti.Questo elunico modo per ottenere un alimento sicuro!', 'Preparazione:una bustina per tazza (200 ml.Si consiglia', 'il consumo giornaliero di 1-2 tazze.', ""Un'alimentazione variata ed equilibrata e uno sti-"", 'Kauterte', 'le di vita sano sono essenziali per la nostra salute', 'Sauren', 'Nahrwerte -Produkt gem.Hinweis zubereitet:pro', '100ml/pro Portion (200ml)Energiewert 3 kJ1 kcal/7kJ', '2 kcalFett Og/0gdavon gesattigte Fettsauren Og/0g', 'Kohlenhydrate0,2g/0.4gdavon Zucker<0.1g/<0,1gEi-', 'weiss 0g/0gSalz 0g/0gZink 1.25mg/2.5mg*', '*12,5% der Referenzmenge fur die tagliche Zufuhr', '25% der Referenzmenge fur die tagliche Zufuhr', 'Les garanties qualite de Kneipp', 'Des herbes aromatiques de la meilleure qualite', 'Aux aromes exclusivement naturels', 'Les sachets filtrants sont biodegradables', '20 Teebeutel=20 Portionen', '1 Portion=1 Aufgussbeutel in 200ml Wasser']"
14,['MODEL:MR-248800']
15,"['PHILIPS', 'hue', '550', 'Oalexan', 'k Google', '550360.CRI', '-240V-50/60Hz', 'hue']"
16,"['Sturdier Than Others', 'hoId up to 30Ib', '301b', 'mm/incn', '053', 'E', '0.7in', '0.5mm']"
17,"['15.5cm', '23.5cm', '50cm', '7cm', '65cm', '15.5cm', '45cm', '105cm', '70cm', '70cm', '84cm', '44cm', '46cm', '120cm']"
18,['Hold up to 15KG']
19,"['Prodoct Size', '12.6in', '7in', '5.7in', '10.4in']"
20,"['R', '.', 'KAPIVA', 'Himalayan', 'Shilajit', 'Sourced from higher altitudes', 'Purified and filteredresin', 'Helps improve strength,', 'power&stamina', 'Himalayan', 'Shilajit', 'PIVA', '20g', 'Himalayan', 'Shilajit']"
21,"['GDJ-GU10W', 'JType Track', 'Head Adaptor', '2.76in(7cm)', 'GU10Socket', '2.16in(5.49cm)', '1.18in(3cm)']"
22,"['PATIOFY', 'Dimensions', 'COMFORT AT YOUR DOOR STEP', '120', 'Height', 'Kgs', '152 Cms', 'Weight Holding', '60Inches', 'Capacity', 'Lenght 61 Cms', 'Width 64 Cms', '24Inches', '25 Inches']"
23,"['-10 Litre', '6.97 Litre -', 'MILTON', 'MILTOT', 'MILTO', 'MIIO', 'MITN', '4.86 Litre -']"
24,"['MarieLiant', '1155', 'Bounce.R']"
25,"['SERVINGS', 'NOTA', 'DPORTIONS', ' SERVINGS', 'PORTIONS', 'BIOSUVEZER', '100', 'BIOSTINKWOA', 'BIOSTEEKMOR', '00', '100', '100PORTIONS', 'NG', 'NOT', 'ON', 'SUGAR', 'FREE', 'BIOSTEEL', 'HYDRATION MIX', 'NATURAL HEALTH PRODUCT', '100', 'SERVINGS', 'CERTIFIED', 'NSF.', ' peach mango.', 'SPORT', 'flavour', '700 g P0WDER I NPN 80094017']"
26,"['Fodrap', 'BARS', 'LOW FODMAP PROTEIN BAR', 'DARK CHOCOLATE', 'PEANUT BUTTER', 'by Fodyazing', 'ONLY', 'FIVE', 'INGREDIENTS', 'FodmapBS', 'LOW FODMAP PROTEIN BAR', 'PEANUTS', 'MAPLE SYRUP', 'WHEY PROTEIN ISOLATE', 'DARK CHOCOLATE CHIPS', 'NATURAL FLAVOR', 'Nutrition', 'Amount/serving', '%Daily Value*', 'Amount/serving', '% Daily Value*', 'The %Daily', 'Facts', 'Total Fat 17g', '22%', 'Total Carbohydrate 18g', 'Saturated Fat 4g', '20%', 'Dietary Fiber 2g', '7%', 'Serving Size: 1 bar (60g)', 'Trans Fat 0g', 'Total Sugars 14g', '2,000 caories', 'Cholesterol Omg', '0%', 'Includes 10g Added Sugars20%', 'Sodium30mg', '1%Protein 16g', 'Calories', '270', 'per serving', 'Vitamin D 0mcg 0%  Calcium 56mg 4%  Iron 1mg 6%  Potassium 79mg 2%', 'Ingredients: Natural Peanut Butter (Dry Roasted Peanuts, Peanut Oil) Maple Syrup,Whey Protein Isolate, Dark', 'Chocolate Chips (Unsweetened Chocolate Cane Sugar) Natural Flavors.', 'Allergens: Contains peanuts, mil and soy.', 'No preservatives added', 'Mann c    m gg', 'Fodrazing', 'MANEFASTUROR', '8A5RAUSCH43064']"
27,"['PRODUCT', 'SPECIFICATION', '9.84""', '10.98""', 'MAX59 ""', 'Turnable screw cable lock', 'Adjust the hanging length freely.', 'TECHNICAL DETAILS', 'Voltage :', '90 - 130V', 'Wattage :', '15W', 'Color Temperature:', '3000K', 'Material :', 'Aluminum & K9 Crystal', '9.25', 'Lumen :', '1200lm', 'Life Time:', '50000 hours', 'Light source:.', 'LED', 'Perfect for Living room, cafe, aisle, kitchen, restaurant, clothing store,', '3.94""', 'shopping mall,and etc']"
28,"['ZINC ALLOY WINDPROOF LIGHTERE', 'Length: 6.3IN', '0.5mm', 'nm', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10111213141516', 'nm']"
29,"['20""36V250W', 'Front wheel', 'Front fork', 'Brushless', 'open size:', 'toothed motor', '100mm']"
30,"['E26 Bub Base', 'Maxwattage:60W', 'Voltage:110V-240V', 'Light bulb is not included']"
31,"['RGBLED', 'LED CONTROLLER', 'Output: 3x2A', '+', '5V', 'OFF', 'ON', 'W', 'R', 'G', 'B', 'FLASH', 'STROBE', 'FADE', 'SMOOTH']"
32,"['FLAME ESSENTIAL', 'OILS AROMATHERAPYDIFFUSER', '4G', '17CM/6.69IN', '3.33', '.3CM/2.9IN', 'Sunday,September 15', 'Jeebel', '10CM/3.9IN', '14.6CM/5.7IN', '3CM/1.18IN', 'Swipe.upto oper', '7.1CM/2.80IN', 'Input:5V/2A', 'Rated Power:4.5W', 'Tank Capacity:180ml', '& fixed color modes', 'Charging Interface:Type-C', 'Color:7 color flame light', 'Material:ABS,PP,Electronic components']"
33,"['DURABLESTRUCTURE', 'KG', 'MAXIMUM', 'CAPACITY']"
34,"['ADVANCE', 'WhEy', 'ProteIn', ' ISOLATE', 'Your', 'NAKPRO', 'Goals', 'NUTRITION', ""Don't"", 'WHEY', 'PLATINOM', 'Need', 'WHEYPROTEIN ISOLATE', 'Unnecessary', 'NO ADDED SUGAR', 'Fillers', 'INSTANT SOLUBLEE', '100%PROTEIN FROM WHEY', 'STRAWBERRY FLAVOUR', 'NET WEIGHT1Kg(2.20lbs)', 'nakpro.com']"
35,"['WAKE UP LAMP', 'UPTO', 'ZU Lux', 'Lights changeovertime', 'Mimickingthe rising run', 'White noise', '18:0.0', 'R', 'GOB', '16million', 'colors', '9', 'Ocean', 'Wave', 'Bird', 'Alarm', '18:0.0', 'Snooze', 'Onatural', 'Osounds', 'Auxiliary sleep', 'Piano', 'Insect', 'Melody', 'Music box', 'Alarm clock', 'C', 'WAKE UP LAMP', 'Features:', 'Sunrise simulation wakes up gradually', 'Sunset simulation sleep light', 'Snooze function', 'Wake up from natural sounds or FM radio', 'Multi color light', 'Digital time display', 'Dimension165mm 170mm 75mm', 'Pgroduct Name:Wake up lamp', 'Model:K8', 'Input:5V2A', 'Weight : 350g', 'FCCE ROHS ', '18:0.0']"
36,"['It is Recommended to', 'Install a Clip Every 10 Inches', 'DC12U']"
37,"['945', 'tt', 'OFFICEPINS']"
38,"['E26 X 3', 'Max 6Ow', '78.8in', '6.3in', '8.28in']"
39,"['27.5cm', '17.5cm', '4.5cm', 'Color random', '8cm', '8cm']"
40,"['20cm', '28.5cm']"
41,"['Mainboard', 'NGFFM-keyNVME SSD', 'FCCE', 'Not work NVME SSD to SATA', '2', 'SATA', 'FCCE', 'Mainboard', 'NGFF B/M-keySATA SSD']"
42,"['POP!', 'THE NOTORIOUS', '162', 'B.I.G', 'ROCKS', 'Funko', 'LIMITED', 'EDITION', 'WITH', 'CROWN', 'NOTORIOUS B.I.G', 'VINYL FIGURE/FIGURINE ENVINYLE', 'FIGURA DE VINIL']"
43,"['RESISTANT', '300', 'KG', '38 cm', '38 cm', '38 cm']"
44,"['Product parameters', 'Item Name', 'Puddypear', 'Item No', 'H-L-16', 'Material', 'ABS+Silica gel', 'Capacity', '1200mAh', 'Rated voltage', '5V/1A', 'Rated Power', '4W', 'Light colour', '2600k~3100k', 'Manufacturer', 'Xiamen Fei Rong Household Products Co.', 'Address', 'Unit 402,No 65Haijing South Road', 'Xiamen,China (Fujian) Pilot Free Trade Zone']"
45,"['ROSEMARY', 'Supplement Facts', 'Serving Size:0.7ml', 'Servings:84', 'Amount Per Serving', '%DV', 'Extract from:', 'Rosemary', '0.7 ml', '(Rosmarinus Officinalis) Dried Leaf', 'Daily Value DV not established', '333 mg/ml Herb Equivalent Menstruum Ratio 1:3', 'ZERO:ARTIFICIAL INGREDIENTS,FILLERS', 'SUGAR,PRESERVATIVES,GLUTEN,SOY', 'EGGS ORDAIRY', 'Other Ingredients:', 'Vegetable Glycerin (50-60%),distilled water', 'SUGGESTED USE', 'Mix 0.7 ml 30 drops with 2 fluid ounces of', 'water or your favorite juice 1 to 3 times a day']"
46,"['20cm', '45cm17.7', '14 cm', 'Product Features:', 'Features:table and chair 2', 'Conditions of Use:', 'Can be clipped desktop thickness:no more than 4CM', 'Chair chair armrest width:no more than7CM', 'Chair chair armrest thickness:no more than 5CM']"
47,"['Size Chart', 'For medium dog', 'XL:32*24*7.2 in', 'Up to 35 lbs', 'For large dog', 'Up to 55 lbs', 'XXL:35.4*27.6*6.7in', 'For jumbo dog', 'Up to 95 lbs', 'XXXL:43.3*35.4*9 in']"
48,"['4.17 in', '2.95 in']"
49,"['Assembled', 'Weight:Approx.2olbs', 'Folded', '5-Levels', 'When fold the trampoline', 'Height Adjustable', 'you need to remove the', '38in-46in', 'handrail and legs', 'Max Load:330pounds', '10.2in', '40in']"
50,"['34cm (13,4"")', '34cm (13,4"")', 'natilud', 'Strength up to 25 kg (55 LBS)']"
51,"['14cm', '5cm', '7.5cm']"
52,"['WARMT UND', 'RUHLT', 'Warmt Lebensmittel bis zu 6 Stunden', 'und kuhlt bis zu12Stunden', '7 cm', 'GROBEOFFNUNG', '7 cm Groe Offnung zum', 'einfachen Essen und Reinigen', 'LOFFEL INTEGRIERT', 'Inklusive klappbarem Loffel', 'MULTIFUNKTIONSDECKEL', 'Deckel kann als Schussel oder', 'O.62L', 'Tasse verwendet werden']"
53,"['17.5cm', '19cm', '12cm', '31cm']"
54,"['40cm', '7cm', '10.5cm', '16cm', 'Material: space aluminum + dust-free constant temperature paint', 'baking process']"
55,"['Weight Holding', 'PATIOFY', 'Capacity', 'COMFORT AT YOUR DOOR STEP', '200', 'KG', 'Sitting', 'Space', '22x22 Inches', 'Back', 'Support', 'Full Height', 'Height', '173Cm/68', '36 Cm/14', 'Inches', 'Inches', 'Breadth', '99 Cm/39 Inches']"
56,"['LED STRIP', '365', 'days', 'SAFETY RGB LEDSTRIP COMBO', '12V/24VSMD3528/5050LEDStrip', 'URS+LOW-CARBONGREEN', 'DIY4', 'DIYS', 'ADE']"
57,"['DR.CORRADINI bio-health', 'Te nero con', 'frutti rossi', 'Miscela di te nero aromatizzata', 'Te ner (69%) scorze darancia Mandorle a', 'Ingredienti', 'fragola liofilizzatapezzidi lamponi lofilizzati.', 'parafarmaciacorradini.com']"
58,"['H:120cm', 'D:100cm', 'Color:Gold', 'Light Source:LED-45W', 'Material:Iron', 'Space:10-18m2']"
59,"['ON', 'A', '20', '400500', 'GLX', '300', '10', '200GLX', 'KK-120', 'A.METER', 'OFF', 'V.METER', 'SINGLE PHASE SUBMERSIBLE PANEL', 'TYPE:EMCB', 'START CAP', 'RUN.CAP', 'f440V AC', 'EXTRA START', 'P', 'N', 'ON', 'Y', 'R', 'POWER SUPPLYE', 'PUMP CONNECTION']"
60,"['RUBBERTHRESHOLD RAMP', 'TRP60RMP', 'W: 1000mm', '60mm', '1', '600mm']"
61,"['FESTOOL', 'TS 55 FEBQ160 mm', '1200w.2000-5800 min', '50-60Hz', '220-240V', 'T-Nr.2048252019-09', 'STO', 'S-Nr.40298627', 'Festool GmbH', 'Wertstr.20', 'D-73240Wendlingen', 'dein Germany']"
62,"['11118', 'PACKAGE LIST', '6.7""', '8.7""', '1', '4.8""', '10.3""', '59""']"
63,"['PRODUCT', 'DIMENSION', '21.66""', 'Flat ceiling', 'Adjustable', 'Sloped ceiling', 'Max:47.25""', '2.37', '4.7', '27.56""', 'Input Voltage:', '110V AC', 'E26 BULB MAX 40W', 'Wattage:', 'Up to40W each', 'Compatible with variety of bulbs', 'Finish:', 'White Lacquered', 'Material:', 'Wood & Aluminum', 'Bulb Base', 'E26', 'Cable Length:', '47.25""Adjustable', 'BULBS ARE NOT INCLUDED']"
64,"['7cm/2.8inch', '16cm/6.3inch', '5.7cm/2.2inch', 'The patterns on each case will be varied.']"
65,"['Must Stop', ""Can't Stop"", 'V', 'LOD', 'Stop or', 'Continue', 'sir sfierorr', 'Better to', 'continue', 'L', 'Do not', 'Dora  g', 'stop', 'sa', 'Stop at', 'one of', 'C-', 'them', '9', 'A slight', 'S Cprss uu', 'pause', 'Soneneder', 'Stop', 'etsfaasursGe', 'ag', '03.', '15', 'Qsiybaag', 'engy', 'uset', 'ar', 'Sgrafiuratse', '104', 'Gigb']"
66,"['Size Information', '4.5 inches/11.5 cm', '5.5 inches/14 cm', 'inches/2.5 cm', '4.3 inches/11 cm', '4.3 inches/11 cm', '3.2 inches/8.2 cm']"
67,"['Light source:LED', 'LED', 'Number of LEDs:20pcs (white light.warm light)', 'LED life:more than 80.000 hours', 'LED brightness:350 lumens', 'Light colorwhite light.warm light', 'Working current60 mA', 'Working voltage:DC3.7V', 'Lithium battery:600mAh(A product battery.sufficient', 'Battery usage:charge up to 500 times', 'The number of times the battery is fully charged:more than 600times', 'The operating temperature of the lamp:-10-50C', 'Product:PIR SENSOR LED CABINET LIGHT', 'Model:SYH070', 'Brand:Maxuni', 'Manufacturer:', 'Shenzhen Shengyihe Industry Co.,Ltd', 'Address:', 'Room 502#,1 Building.Debao InstrialArea,Bantian', 'Street,Longgang District.Shenzhen.Guangdong,China', 'Prolinx.GmbH', 'Tech Support:maxuniservice@gmail.com', 'REP', 'Brebmst.56.40239 DussedorGeany', 'Emal. eu Geuins.eu', 'R', 'Telefon +4921131054698', '8-', 'OPBCLTD', 'UK', 'REP', 'The Moda Centre 7 Nohuf', 'West Yotkshire HD1 tRL UK', 'Ema info@www.opbogmbh.com', 'MADE IN CHINA', 'Telefon.+4407743055154']"
68,"['171cm-184cm', '0,5cm', '25cm']"
69,['Hold up to 100 kg']
70,"[';Por que tomar Ajo Negro en gotas?', 'El Extracto Fluido Concentrado de Ajo', 'Negro (tintura) es el formato que mejor', 'asimila el organismo, aprovechando todos', 'sus principios activos, propiedades y.', 'beneficios.', 'ONDALIUM', 'ONDALIUN', 'XTRACTO FLUIDO', 'El Extracto Fluido Concentrado frente al', '30 m', 'resto de formatos del mercado:.', 'Para concentrar todos los principios activos puros y obtener todas las propiedades, la', 'tintura es el mejor metodo por su biodisponibilidad y capacidad de absorcion por el.', 'organismo.', 'Al ingerir el ajo negro al natural o en capsulas, Ia cantidad de fibra que contiene hace', 'que gran parte de los principios activos no se absorban y se eliminen a traves de las.', 'heces. Ademas, tiene que pasar dos importantes barreras, como son la barrera del ileon.', 'y la barrera del higado, por lo que la cantidad de principio activo que llega a nivel celular', 'es minima. Sin embargo, con nuestro extracto fluido concentrado de ajo negro, al pasar', 'Ia mayor parte directamente a sangre, nos aseguramos que practicamente todos los.', 'nutrientes activos van a llegar a las celulas, por lo que se incrementa significativamente', 'su efecto sobre el organismo..', 'La tintura hidroalcoholica de Ajo Negro es probablemente la forma de extraccion y', 'presentacion que mejor concentra, conserva y dispone los compuestos fitoquimicos y.', 'nutrientes relacionados con las propiedades del ajo negro.']"
71,"['Hanan', 'MUNA/digestivo', ' MUNA LEAVES / DIGESTIVE AID', 'mung leaves', 'muna', '100% Natural', 'ibre de cafeina', '25', ""The nature's secrets"", 'for your health', 'Filtrantes', 'Tea Bags', 'NET WT.', '25 bag/0.87oz']"
72,"['KGS', 'Avoid Electric Shock-', 'Anti-Bite and pull-resistant', 'withstand 30 kgs of pull force', 'Eliminate fire', 'hazards', 'Built-in fire retardant cotton', 'reduces fire risks more effectively']"
73,"['SIZE&DETAILS', 'OF', '0.47in/12.1mm', '0.95in/24.6mm', '0.18in/4.6mm', 'IN', 'GODWE', 'TRUST', 'LIBERTY', '0.54in/13.8mm', '0.95in/24.6mm', 'Material: S925 SILVER', 'CRAFT', 'Weight: 3g/0.10oz', 'Exquisite multi-color zircon', 'Series: Beads', '(This picture is for reference only,the actual product shall prevail)']"
74,"['EASYTO USE', 'The cork body is made of plastic coated by silver paint.', '1*AA battery', '(Not included)', 'NO/OFF', '3.3ft 20 Ied bulbs']"
75,['ML9']
76,"['X', '17cm/ 6.68in', '5cm/ 1.97in']"
77,"['Fujitsubo Pock', '20', 'FIN', 'B53', 'No.', 'HH', 'H', 'HH', 'Fujitsubo-Pack', 'H3', '[]', 'B53', '19197mm', '85g.m', 'B5', '[]PK8', '3', '257mm', '20']"
78,"['5.9inch/15cm', '1.2inch/3cm(Thick', '11.8inch/30cm']"
79,"['Material', 'Iron', 'Colour', 'Black/Green', 'Maximum Weight', 'Recommendation', '150.0 Kilograms']"
80,"['LargeVolume', 'can hold up to50 lbs', '5', '15.8""', '4', '15']"
81,"['CARD SIZE', '5 X 7 INCHES', '5 INCHES', 'ABABY IS', '7 INCHES', 'BREWING', 'Join us for a baby shower honoring', 'ASHLEYBRADBERRY', 'Saturday, October 10th', '11:00am', 'Witches Brew Cafe', '123 Main Street', 'Tampa,Florida', 'Hosted by:Jennifer Bradberry & Lynn Daniels', 'RSVP to Lynn at813555-1234', 'Registered at Target and Amazon']"
82,"['SIZE', '2.9cm/1.14in', '1.5cm/0.59in', '4.5cm/1.77in', '4.3cm/1.69in']"
83,"['TATA TEA', 'Chakra', 'Gold', 'TATA', 'CONSUMER', 'PRODUCTS', 'TATA', 'BRAND OWNED BY TATA CONSUMER PRODUCTS LIMITED', 'Storage instructionsOnce opened,transfer the contents into an', 'airtight container and keep the lid tightly closed after each use.', 'THIS IS ONLY A BRAND NAME AND DOES NOT', 'REPRESENTITS TRUE NATURE', 'l901052020485', '-']"
84,"['25G', '0', 'REAL', 'PROTEIN', 'SUGAR', 'BLACK TEA', 'BOBA TEA', 'PROTEIN', 'VERIFIED GRASS-FED WHEY PROTEIN POWDER', 'CLASSIC MILK TEA', 'NET WT.25.8 OZ 1.61 LBS)(731.5 GRAMS)']"
85,"['118cm', '80cm', '12cm']"
86,"['ACETAC Tactical Roll Up Pouch', 'ATFE', 'TOUGHLYBUILT', 'Specs', 'Exterior Fabric:', '500D Nylon', 'Interior Fabric:', 'Polyurethane', 'Weight:', '70Z', '10.0""', '5.5""', '4.0""', '6.5""']"
87,"['ON', 'IC SHOCK', 'PEN', 'TION', 'IROCUTION', 'VRIR', 'B', 'FRONT HEIGHT/WIDE', '220-230V', 'ACK/ZONE2', 'R', 'c0/60Hz 550W', 'L(Single)', 'HINA', 'MA', 'HINE', 'ABRIQD', '133251', 'SERIAL NO', 'NUA', ""OIRLEMODE D'EMPLO"", 'SELECTABLE']"
88,"['1924', 'MG4', 'MG4', 'MG4', 'MG4']"
89,"['beaphar', 'Anti-Parasite Spot On', 'for rabbits, guinea-pigs, ferrets and rats', 'contains', 'ivermectin', 'mange mites,other mites and', 'roundworms for up to4 weeks', 'Effective against lice, fleas,']"
90,"['Power: 5 W', 'Input: AC85-265V', '8cm / 3 in', '41cm / 16 in', '9cm / 3.5 in']"
91,"['KG', 'Extends upto', 'Can withstand', '70"" inches', 'upto 5 KG weight', 'No Tools', 'Easy hassle', 'required', 'free installation']"
92,"['PARTS', 'High Quality Metal Base With Chrome Finish', 'Easily Withstand Weight Upto-12O kg', 'Heavy Duty Nylon Castor Wheels', 'Class 4 Gas Lift with Cover.', 'Soft Padded & Chrome Finish', 'Metal Arm Rest.']"
93,"['150mm', '420mm']"
94,"['1.8cm/0.7in', '3.3cm/1.3in', '16cm/6.3in', '10cm/3.9in', '4cm/1.6in']"
95,"['100%', 'ena', 'NATURAL', 'SELECTION', 'REAL', 'CHICKEN', 'CATAHOLIC', 'FOR HEALTHY SKIN', 'OHICKEN&ISH', '30g', 'AND A SHINY COAT.']"
96,"['PRODUCTDETAILS', '9.06in', '4.92in', '11.42in', '5.7in', 'Bulb Included)', '4.53in', '4.53in', 'Technical Details', 'Material:', 'Aluminum &Tempered Glass', 'Input Voltage:', '120V', 'Power Source :', 'Corded-Electric', 'Installation Type', 'Wall Mount', 'Bulb :', '120V/6W', 'Bulb Base:', 'E26']"
97,"['3.5 in/9.0cm', 'Merrpt', 'nrisimas', '6.2 in/16 cm']"
98,"['nd', 'NOT', 'S', 'en', 'DP33200417009002']"
99,"['90cm', '300cm']"
100,"['Please note before purchasing: the light actual hole size of your home', 'The ""8in"" in the title of this product is the approximate hole size, the actual size', 'of the lamp is 8.7in.', '8 - 8.2""', '6.1""', '(Hole size)', ""0.7'"", '(Hole size)', '0', '8.7""', '(Ring size"")', '6.69""', '(Ring size"")', '6.89""', '5.0""', '8in recessed light', '6in recessed light']"
101,"['Fabric Upgraded', '(s7 update to s8)', 'Increase the thickness of the', 'fabric, making the bag more.', 'durable.', 'Hooks Upgraded', '(4pcs update to 6pcs)', 'Higher quality hooks are used.', '6 hooks are included for free', '6 pcs Hooks']"
102,"['GroBer Kabelabschnitt sorgt fur Stabilitat', '(Warme Tipps: Die spezifische Ladegeschwindigkeit hangt', 'von der Ausgangsspannung Ihres Gerats ab)', '10:46', 'ECO', '74%', 'km/h', 'A', '20.5', '75% Charged', 'TA', 'Eingangsspannung:5V', 'Eingangsstrom:2A', 'Leistung:10w']"
103,"['SIDDHAYU', 'REIMAGINING AYURVEDA', 'Step3', '1teaspoon', 'Step2', 'ghee', 'Step4', '1cup warm/cold', 'Sweeten', 'milk (of choice)', 'totaste', 'Step1', 'Step5', '1teaspoon', 'Whisk well', 'Turmeric Yogue', 'before drinking', 'Baidyanath', '10O years of caring']"
104,"['FUGEN', 'SUPPORT ALL', 'A Trusted Brand in Laptop Accessories', 'MACBOOK CHARGER', 'The Plug is compatible with all MagSafe adapters like', '85w/87w/65w/61w/45w/30w/29w etc.You can use it in any', 'Apple Charger, no matter the wattage']"
105,"['6.3 ""', '7.9 ""', '10.2 ""', '69.7 ""', '13.8 ""', '12', '15.7 ""']"
106,"['10.5cm', '11cm']"
107,"['SOURCE', 'ontre', '6x1,5L']"
108,"['173FT 500LED UPGRADED STRING L GHTS', 'Super Long String Lights', 'OL588 Certification', '& 30V Low Voltage', '8 Lighting Modes', 'IP 44 Waterproof', 'Super Bright LED Bulbs']"
109,"['ARSHEGE', 'Y', '2iK', 'RE', 'GOLD', 'Beauty', 'TMENT', 'ARSHEGL', '24K GOLD', 'E TREATMENT MASK', 'The Beauty You Deserve 24k pure gold', 'anti-aging collagen hyaluronic acid', '30pair 6.1fl.oz181g']"
110,"['opm', 'NAPN', 'HOPM', 'sea', 'MOPCKAR', 'BOAA', ""'Hud"", 'CalSource', 'Har', 'weifa', 'Energi', 'Ca1000', 'BIOTIN', '23 r/n', 'DIANT', '10,000MCG', 'Kvinne', 'Itrate', 'Aldara""', '5%Creme', 'DR', 'otrex600']"
111,"['100 cm', '50 cm', '76 cm']"
112,"['max.load', '25kg']"
113,"['Materiales duraderos', 'Los materiales de alta calidad proporcionan', 'un confort duradero']"
114,"['5cm', '137cm']"
115,"['STURDY BU LD', '120', 'KG', 'Weight Capacity: 120kg', 'Steel Legs for high stability']"
